/* DATA DESCRIPTION:
Citation:	Parrenin, Frédéric; Loulergue, Laetitia; Wolff, Eric William (2007): EPICA Dome C Ice Core Timescales EDC3 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.671367, 
	Supplement to: Parrenin, Frédéric; Barnola, Jean-Marc; Beer, Jürg; Blunier, Thomas; Castellano, Emiliano; Chappellaz, Jérôme A; Dreyfus, Gabrielle; Fischer, Hubertus; Fujita, Shuji; Jouzel, Jean; Kawamura, Kenji; Lemieux-Dudon, Bénédicte; Loulergue, Laetitia; Masson-Delmotte, Valerie; Narcisi, Biancamaria; Petit, Jean Robert; Raisbeck, Grant M; Raynaud, Dominique; Ruth, Urs; Schwander, Jakob; Severi, Mirko; Spahni, Renato; Steffensen, Jørgen Peder; Svensson, Anders M; Udisti, Roberto; Waelbroeck, Claire; Wolff, Eric William (2007): The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3, 485-497, https://doi.org/10.5194/cp-3-485-2007
Abstract:	The EPICA (European Project for Ice Coring in Antarctica) Dome C drilling in East Antarctica has now been completed to a depth of 3260 m, at only a few meters above bedrock. Here we present the new EDC3 chronology, which is based on the use of 1) a snow accumulation and mechanical flow model, and 2) a set of independent age markers along the core. These are obtained by pattern matching of recorded parameters to either absolutely dated paleoclimatic records, or to insolation variations. We show that this new time scale is in excellent agreement with the Dome Fuji and Vostok ice core time scales back to 100 kyr within 1 kyr. Discrepancies larger than 3 kyr arise during MIS 5.4, 5.5 and 6, which points to anomalies in either snow accumulation or mechanical flow during these time periods. We estimate that EDC3 gives accurate event durations within 20% (2 sigma) back to MIS11 and accurate absolute ages with a maximum uncertainty of 6 kyr back to 800 kyr.
Related to:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2007): New constraints on the gas age-ice age difference along the EPICA ice cores, 0-50 kyr. Climate of the Past, 3, 527-540, https://doi.org/10.5194/cp-3-527-2007
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Timescale EDC3 for the EPICA Dome C ice core, both for the ice matrix and gas bubbles. The dataset gives the depth versus age timescale that has been adopted as official for the EPICA Dome C ice core. Depth refers to the official log depth of the drilling. EDC3 for the ice matrix (EDC3_ice) is described fully in Parrenin et al. (Climate of the Past, 3, 485-497, 2007). This timescale is based on an snow accumulation / ice flow model, which is further tuned with independent age markers. Gas ages are derived using a firn densification model, and are fully described in Loulergue et al. (Climate of the Past, 3, 527-540, 2007). The ages given here correspond to the scenario 4 of Loulergue et al. and where necessary can be referred to as EDC3_gas_a.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Sample ID (Sample ID) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * COMMENT: Bag number
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Gas age [ka BP] (Gas age) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	17220 data points
*/
Depth ice/snow [m]	Sample ID	Age model [ka]	Gas age [ka BP]
0.00	1	-0.050	
0.55	2	-0.044	
1.10	3	-0.037	
1.65	4	-0.032	
2.20	5	-0.025	
2.75	6	-0.018	
3.30	7	-0.011	
3.85	8	-0.003	
4.40	9	0.005	
4.95	10	0.014	
5.50	11	0.022	
6.05	12	0.031	
6.60	13	0.038	
7.15	14	0.047	
7.70	15	0.055	
8.25	16	0.064	
8.80	17	0.073	
9.35	18	0.082	
9.90	19	0.091	
10.45	20	0.100	
11.00	21	0.110	
11.55	22	0.119	
12.10	23	0.129	
12.65	24	0.140	
13.20	25	0.150	
13.75	26	0.161	
14.30	27	0.171	
14.85	28	0.181	
15.40	29	0.191	
15.95	30	0.202	
16.50	31	0.212	
17.05	32	0.223	
17.60	33	0.234	
18.15	34	0.245	
18.70	35	0.255	
19.25	36	0.267	
19.80	37	0.278	
20.35	38	0.289	
20.90	39	0.301	
21.45	40	0.312	
22.00	41	0.324	
22.55	42	0.336	
23.10	43	0.347	
23.65	44	0.359	
24.20	45	0.371	
24.75	46	0.383	
25.30	47	0.395	
25.85	48	0.407	
26.40	49	0.419	
26.95	50	0.430	
27.50	51	0.442	
28.05	52	0.454	
28.60	53	0.466	
29.15	54	0.478	
29.70	55	0.490	
30.25	56	0.503	
30.80	57	0.516	
31.35	58	0.529	
31.90	59	0.542	
32.45	60	0.555	
33.00	61	0.568	
33.55	62	0.581	
34.10	63	0.594	
34.65	64	0.606	
35.20	65	0.619	
35.75	66	0.632	
36.30	67	0.645	
36.85	68	0.658	
37.40	69	0.672	
37.95	70	0.687	
38.50	71	0.701	
39.05	72	0.715	
39.60	73	0.729	
40.15	74	0.744	
40.70	75	0.759	
41.25	76	0.772	
41.80	77	0.786	
42.35	78	0.799	
42.90	79	0.812	
43.45	80	0.825	
44.00	81	0.837	
44.55	82	0.849	
45.10	83	0.862	
45.65	84	0.875	
46.20	85	0.889	
46.75	86	0.903	
47.30	87	0.917	
47.85	88	0.932	
48.40	89	0.947	
48.95	90	0.961	
49.50	91	0.976	
50.05	92	0.990	
50.60	93	1.005	
51.15	94	1.019	
51.70	95	1.032	
52.25	96	1.047	
52.80	97	1.061	
53.35	98	1.075	
53.90	99	1.089	
54.45	100	1.104	
55.00	101	1.118	
55.55	102	1.133	
56.10	103	1.147	
56.65	104	1.161	
57.20	105	1.174	
57.75	106	1.188	
58.30	107	1.201	
58.85	108	1.215	
59.40	109	1.229	
59.95	110	1.244	
60.50	111	1.258	
61.05	112	1.273	
61.60	113	1.287	
62.15	114	1.302	
62.70	115	1.316	
63.25	116	1.330	
63.80	117	1.345	
64.35	118	1.359	
64.90	119	1.373	
65.45	120	1.387	
66.00	121	1.401	
66.55	122	1.416	
67.10	123	1.432	
67.65	124	1.448	
68.20	125	1.463	
68.75	126	1.479	
69.30	127	1.494	
69.85	128	1.510	
70.40	129	1.525	
70.95	130	1.541	
71.50	131	1.556	
72.05	132	1.572	
72.60	133	1.588	
73.15	134	1.604	
73.70	135	1.621	
74.25	136	1.637	
74.80	137	1.654	
75.35	138	1.670	
75.90	139	1.686	
76.45	140	1.702	
77.00	141	1.720	
77.55	142	1.737	
78.10	143	1.754	
78.65	144	1.771	
79.20	145	1.787	
79.75	146	1.804	
80.30	147	1.822	
80.85	148	1.839	
81.40	149	1.856	
81.95	150	1.873	
82.50	151	1.889	
83.05	152	1.905	
83.60	153	1.922	
84.15	154	1.938	
84.70	155	1.956	
85.25	156	1.973	
85.80	157	1.990	
86.35	158	2.007	
86.90	159	2.025	
87.45	160	2.044	
88.00	161	2.061	
88.55	162	2.078	
89.10	163	2.095	
89.65	164	2.113	
90.20	165	2.130	
90.75	166	2.147	
91.30	167	2.165	
91.85	168	2.184	
92.40	169	2.202	
92.95	170	2.219	
93.50	171	2.237	
94.05	172	2.253	
94.60	173	2.271	
95.15	174	2.289	
95.70	175	2.306	
96.25	176	2.327	
96.80	177	2.347	
97.35	178	2.367	
97.90	179	2.385	
98.45	180	2.405	
99.00	181	2.424	0.001
99.55	182	2.443	0.021
100.10	183	2.463	0.042
100.65	184	2.481	0.062
101.20	185	2.500	0.082
101.75	186	2.518	0.102
102.30	187	2.535	0.120
102.85	188	2.553	0.137
103.40	189	2.571	0.153
103.95	190	2.589	0.167
104.50	191	2.607	0.192
105.05	192	2.625	0.217
105.60	193	2.642	0.230
106.15	194	2.659	0.244
106.70	195	2.678	0.262
107.25	196	2.697	0.281
107.80	197	2.715	0.302
108.35	198	2.733	0.324
108.90	199	2.750	0.349
109.45	200	2.767	0.369
110.00	201	2.784	0.387
110.55	202	2.801	0.407
111.10	203	2.818	0.426
111.65	204	2.835	0.444
112.20	205	2.852	0.460
112.75	206	2.870	0.472
113.30	207	2.888	0.486
113.85	208	2.906	0.502
114.40	209	2.924	0.523
114.95	210	2.943	0.545
115.50	211	2.961	0.559
116.05	212	2.980	0.573
